Province/State,Country/Region,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020
Alabama,US,6,12,29,39,51,78,81,106,157,196,242,386,531,587,638,830,947,999,1106,1270,1535
Alaska,US,1,1,1,3,6,9,9,9,22,36,42,59,69,69,69,114,119,133,143,147,157
American Samoa,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,US,12,13,18,20,27,44,44,63,152,253,326,401,508,665,665,919,1157,1289,1413,1598,1937
Arkansas,US,12,16,22,22,37,64,62,100,164,197,230,306,349,381,386,443,504,560,614,679,738
California,US,340,426,557,698,652,982,995,1077,1709,1931,2511,2982,3777,3006,3801,5739,6909,8131,8155,9191,12500
Colorado,US,101,131,160,160,216,277,277,363,591,720,921,1086,1430,1430,1734,2307,2627,2966,3342,3728,4173
Connecticut,US,22,24,30,68,96,159,159,194,327,415,618,875,1012,1291,1291,1993,2571,3128,3557,3824,4914
Delaware,US,6,7,8,16,26,30,30,39,56,87,104,119,143,163,163,232,264,319,368,393,450
District of Columbia,US,10,16,22,22,39,71,39,71,116,137,183,231,267,267,267,401,495,495,586,653,757
Florida,US,76,115,155,216,299,393,514,514,937,1141,1373,1861,2352,2892,3192,4768,5489,6490,7495,8694,10268
Georgia,US,66,99,121,146,262,397,420,420,757,1015,1119,1441,1714,2001,2198,2703,3612,4585,4748,5486,5967
Guam,US,0,3,3,3,8,12,12,12,27,30,30,38,47,49,49,58,60,71,77,82,84
Hawaii,US,4,6,7,10,10,20,16,37,48,66,70,76,86,106,120,141,163,185,205,225,319
Idaho,US,2,5,5,8,10,23,23,23,47,51,71,123,189,185,230,310,415,525,669,891,1013
Illinois,US,64,93,105,161,288,422,422,585,1049,1285,1535,1865,2538,3026,3026,4596,5057,5994,6980,7695,8904
Indiana,US,16,20,25,30,39,56,79,79,201,259,365,477,645,981,981,1514,1786,2159,2565,3039,3437
Iowa,US,17,18,23,23,38,44,44,45,90,105,124,145,179,235,235,336,424,497,549,614,699
Kansas,US,8,8,11,18,21,35,34,44,64,82,98,98,168,202,202,319,368,428,482,552,629
Kentucky,US,14,20,21,26,35,43,47,63,103,124,163,198,248,248,302,439,480,591,680,770,831
Louisiana,US,77,91,136,196,261,392,479,537,1035,1172,1388,1946,2305,2746,2746,3540,4025,5237,6424,9150,10297
Maine,US,3,12,17,32,44,52,52,56,93,109,118,147,155,168,168,253,303,303,344,376,432
Marshall Islands,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,US,26,32,41,60,107,149,149,149,288,288,349,580,774,774,774,1239,1660,1660,1985,2331,2758
Massachusetts,US,138,164,197,218,256,328,328,413,646,777,1159,1838,2417,3240,3240,4955,5752,6620,7738,8966,10402
Michigan,US,25,33,53,65,80,334,334,549,1035,1328,1791,2294,2856,3657,3657,5486,6498,7615,9334,10791,12744
Micronesia,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,US,21,35,54,60,89,115,89,115,236,262,287,346,399,398,398,576,576,689,742,789,789
Mississippi,US,6,10,13,21,50,80,50,80,249,320,377,485,579,579,579,847,937,1073,1177,1358,1358
Missouri,US,4,5,6,11,24,28,28,47,106,183,255,356,502,670,670,903,1031,1327,1581,1834,2152
Montana,US,5,7,7,9,12,15,9,15,34,37,48,65,90,108,109,173,184,203,228,244,262
Nebraska,US,14,17,18,21,27,27,32,32,50,52,53,64,73,81,89,120,145,177,214,255,279
Nevada,US,21,24,45,56,63,95,84,109,190,245,278,321,535,535,535,920,1044,1113,1279,1458,1559
New Hampshire,US,7,13,17,26,39,44,44,55,78,101,108,137,158,158,187,258,314,367,415,479,540
New Jersey,US,69,98,178,267,427,742,742,890,1914,2844,3675,4402,6876,8825,8825,13386,16636,18696,22255,25590,29895
New Mexico,US,10,13,17,23,28,35,35,43,65,83,100,112,136,136,191,237,281,315,363,403,534
New York,US,525,732,967,1706,4597,6834,7102,7845,15168,21689,26358,32966,38977,44635,44635,59219,67131,74427,84735,90279,103060
North Carolina,US,24,33,38,64,97,137,136,137,255,398,504,636,764,763,763,1307,1498,1584,1857,2093,2336
North Dakota,US,1,1,1,3,7,19,20,26,30,32,37,45,58,65,68,98,109,126,147,159,173
Northern Marianas,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,8,8,8
Ohio,US,26,37,50,67,88,119,119,169,351,442,564,704,867,1137,1137,1653,1933,2199,2547,2902,3312
Oklahoma,US,4,7,10,19,31,49,44,49,67,81,106,223,248,322,322,481,481,565,719,879,990
Oregon,US,32,36,39,66,75,88,88,88,161,191,209,266,316,414,414,548,606,690,736,826,899
Palau,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,US,47,66,77,112,133,185,268,268,479,644,851,1128,1688,2218,2218,3394,4087,4843,5805,7016,8570
Puerto Rico,US,3,5,5,5,5,5,8,8,23,31,39,51,64,64,64,127,174,239,286,316,378
Rhode Island,US,20,20,21,23,33,44,44,44,97,106,124,132,188,165,203,294,479,520,566,681,711
South Carolina,US,19,28,33,47,60,81,81,125,195,298,342,424,456,456,539,774,925,1083,1293,1554,1700
South Dakota,US,9,9,10,11,11,14,14,14,21,28,30,41,46,58,58,90,101,108,129,165,187
Tennessee,US,32,39,52,74,98,154,154,228,505,615,667,784,957,1203,1203,1537,1834,2239,2240,2845,3067
Texas,US,57,72,85,110,83,143,194,202,507,352,715,974,1396,1731,1731,2552,2877,3266,3997,4669,6025
Utah,US,10,28,39,51,40,68,78,78,169,280,298,346,402,480,480,789,806,934,1012,1165,1255
Vermont,US,5,8,12,12,12,16,22,29,52,75,95,123,156,184,184,235,256,293,321,338,389
Virgin Islands,US,1,1,1,2,5,5,2,3,17,17,17,17,17,17,19,23,30,30,30,37,38
Virginia,US,41,45,49,67,94,114,94,114,254,290,391,460,604,604,604,1020,1020,1484,1706,2012,2012
Washington,US,572,643,904,1076,1187,1376,1376,1513,1996,2221,2469,2580,3207,3207,3723,4506,4896,4896,5319,5683,6967
West Virginia,US,0,0,0,1,5,5,5,8,16,20,39,51,76,76,96,124,145,162,191,217,237
Wisconsin,US,27,32,47,72,106,155,155,206,381,416,457,585,707,707,842,989,1221,1351,1550,1730,2012
Wyoming,US,2,3,3,11,16,18,18,18,24,26,30,44,55,70,70,87,95,120,137,150,162