State,Lat,Long
Kerala,10.8505,76.2711
Delhi,28.7041,77.1025
Telengana,18.1124,79.0193
Rajasthan,27.0238,74.2179
Haryana,29.0588,76.0856
Uttar Pradesh,26.8467,80.9462
Tamil Nadu,11.1271,78.6569
Union Territory of Ladakh,34.2996,78.2932
Karnataka,15.3173,75.7139
Maharashtra,19.7515,75.7139
Punjab,31.1471,75.3412
Union Territory of Jammu and Kashmir,33.7782,76.5762
Andhra Pradesh,15.9129,79.74
Uttarakhand,30.0668,79.0193
Odisha,20.9517,85.0985
Puducherry,11.9416,79.8083
West Bengal,22.9868,87.855
Chhattisgarh,21.2787,81.8661
Union Territory of Chandigarh,30.7333,76.7794
Gujarat,22.2587,71.1924
Chandigarh,30.7333,76.7794
Himachal Pradesh,31.1048,77.1734
Jammu and Kashmir,33.7782,76.5762
Ladakh,34.2996,78.2932
Madhya Pradesh,22.9734,78.6569
Bihar,25.0961,85.3131
Manipur,24.6637,93.9063
Mizoram,23.1645,92.9376
Andaman and Nicobar Islands,11.7401,92.6586
Goa,15.2993,74.124
Assam,26.2006,92.9376
Jharkhand,23.6102,85.2799