DATE,CONFIRMED,DECEASED,RECOVERED
30-Jan,1,0,0
31-Jan,0,0,0
01-Feb,0,0,0
02-Feb,1,0,0
03-Feb,1,0,0
04-Feb,0,0,0
05-Feb,0,0,0
06-Feb,0,0,0
07-Feb,0,0,0
08-Feb,0,0,0
09-Feb,0,0,0
10-Feb,0,0,0
11-Feb,0,0,0
12-Feb,0,0,0
13-Feb,0,0,1
14-Feb,0,0,0
15-Feb,0,0,0
16-Feb,0,0,1
17-Feb,0,0,0
18-Feb,0,0,0
19-Feb,0,0,0
20-Feb,0,0,1
21-Feb,0,0,0
22-Feb,0,0,0
23-Feb,0,0,0
24-Feb,0,0,0
25-Feb,0,0,0
26-Feb,0,0,0
27-Feb,0,0,0
28-Feb,0,0,0
29-Feb,0,0,0
01-Mar,0,0,0
02-Mar,2,0,0
03-Mar,1,0,0
04-Mar,22,0,0
05-Mar,2,0,0
06-Mar,1,0,0
07-Mar,3,0,0
08-Mar,5,0,0
09-Mar,9,0,0
10-Mar,15,0,1
11-Mar,7,0,0
12-Mar,12,1,0
13-Mar,9,0,6