States,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,1,0,0,0,0,0
Andhra Pradesh,1,0,0,0,0,2,0,2,1,1,1,2,1,2,6,2,2,21,67,38,15,28
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,7,3
Bihar,0,0,0,0,0,0,0,0,2,1,0,1,3,2,2,4,0,6,3,5,2,1
Chandigarh,0,0,0,0,0,1,4,0,1,1,0,0,0,1,0,0,5,2,2,1,0,0
Chhattisgarh,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,1,1,0,0,0,1
Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,7,0,0,1,2,4,6,7,0,3,0,5,1,4,9,23,25,23,32,141,93,59
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,1
Gujarat,0,0,0,0,0,2,5,7,4,12,4,4,5,4,8,8,7,4,13,1,7,13
Himachal Pradesh,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
Haryana,14,0,0,1,1,1,2,2,0,7,2,1,1,1,2,0,1,7,0,6,9,26
Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Jammu and Kashmir,5,1,0,3,-5,0,0,0,0,0,2,5,3,6,13,5,11,6,7,8,5,17
Karnataka,6,0,1,2,5,1,0,5,6,7,8,10,4,9,17,2,8,10,9,14,4,16
Kerela,19,5,3,0,0,1,12,12,15,28,14,9,19,39,6,20,32,7,24,21,9,11
Ladakh,0,0,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lakshadeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,14,18,6,3,3,4,4,12,10,23,10,15,3,31,30,17,35,64,33,88,64,148
Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Madha Pradesh,0,0,,0,0,0,4,0,2,0,1,8,5,9,10,0,8,19,32,9,47,25
Mizoram,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,15,1
Punjab,1,0,0,0,1,0,1,10,8,2,6,2,2,5,0,0,3,1,4,1,6,12
Puducherry,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
Rajasthan,3,1,0,0,3,2,8,7,4,4,0,6,2,10,4,5,20,14,27,13,46,21
Sikkiim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telengana,1,2,1,1,8,3,3,2,6,6,4,4,3,15,8,3,7,20,30,27,75,0
Tamil Nadu,1,0,0,0,1,1,0,3,3,3,6,8,3,9,4,8,17,57,110,75,102,74
Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,12,1,0,2,2,3,4,4,2,2,3,3,4,7,16,7,24,8,13,11,46,60
Uttarakhand,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,3,6,6
West Bengal,0,0,0,1,0,0,1,2,3,0,2,0,1,5,3,3,1,15,0,16,0,0